Date;Prec;Temp;PET;Qobs
2016-07-19;0.0;21.4;3.284217881355823;1.4755327313769755
2016-07-20;0.0;20.57;3.190497585095043;1.4705122347629798
2016-07-21;0.0;22.4;3.429347710278069;1.4654917381489845
2016-07-22;0.0;22.8;3.490370373941348;1.4604712415349888
2016-07-23;0.0;23.7;3.6149786197720495;1.4554507449209932
2016-07-24;0.0;24.63;3.744405008888709;1.4504302483069975
2016-07-25;0.0;26.6;4.006771976344973;1.4504302483069975
2016-07-26;0.0;25.63;3.897075287544344;1.4504302483069975
2016-07-27;0.0;24.9;3.817455053277826;1.4479614446952598
2016-07-28;0.0;23.67;3.673388642884001;1.4454926410835212
2016-07-29;0.0;24.47;3.789483843602792;1.4430238374717832
2016-07-30;0.0;24.97;3.8678577529303744;1.4405550338600452
2016-07-31;0.0;24.43;3.812235464009577;1.4380862302483066
2016-08-01;0.0;24.03;3.774529792915928;1.4356174266365689
2016-08-02;0.0;24.5;3.8502032016694736;1.4331486230248307
2016-08-03;0.0;24.17;3.821748523524016;1.4306798194130923
2016-08-04;0.0;24.97;3.941789938944772;1.4282110158013543
2016-08-05;0.0;25.8;4.066813974487915;1.4257422121896166
2016-08-06;0.0;27.1;4.2552009194488605;1.4232734085778778
2016-08-07;0.0;27.43;4.31605352417724;1.4208046049661398
2016-08-08;0.0;27.03;4.279902091083336;1.4183358013544018
2016-08-09;0.0;25.87;4.141536980957825;1.4158669977426634
2016-08-10;0.0;23.27;3.808101849714076;1.4133981941309255
2016-08-11;0.0;24.2;3.949408636318386;1.4133981941309255
2016-08-12;0.0;25.55;4.148913552808303;1.4158669977426634
2016-08-13;0.0;27.1;4.377321870434985;1.4183358013544018
2016-08-14;0.0;28.0;4.518589164191504;1.4208046049661398
2016-08-15;0.0;27.75;4.502873556638781;1.4232734085778778
2016-08-16;0.0;28.7;4.65265481433253;1.4257422121896166
2016-08-17;6.85;27.95;4.567943190054075;1.4282110158013543
2016-08-18;6.225;26.65;4.405894689905324;1.4306798194130923
2016-08-19;4.9;25.8;4.3053251413537375;1.4331486230248307
2016-08-20;8.825;26.25;4.386304474097346;1.4356174266365689
2016-08-21;0.0;21.0;3.664487657574495;1.4380862302483066
2016-08-22;0.0;18.63;3.3441938211459488;1.4405550338600452
2016-08-23;0.0;20.53;3.627955825557356;1.4430238374717832
2016-08-24;0.0;24.7;4.237851838834579;1.4454926410835212
2016-08-25;0.0;27.0;4.58470275045558;1.4479614446952598
2016-08-26;0.0;27.13;4.622071212543507;1.4504302483069975
2016-08-27;0.525;26.47;4.5454749130063545;1.4631927765237018
2016-08-28;11.4;25.4;4.408631043952316;1.4759553047404064
2016-08-29;17.025;22.77;4.043373631455283;1.4887178329571102
2016-08-30;19.85;17.8;3.332959269424978;1.5081245146726865
2016-08-31;0.0;20.47;3.738004314317812;1.5275311963882616
2016-09-01;0.0;24.7;4.375933751540988;1.5455945823927766
2016-09-02;16.775;22.53;4.072029492332239;1.5636579683972915
2016-09-03;5.6;19.47;3.6334176896677097;1.5817213544018058
2016-09-04;1.85;14.77;2.946796900858529;1.5997847404063206
2016-09-05;0.0;15.8;3.1121024332909557;1.6178481264108353
2016-09-06;0.0;15.63;3.098282108501779;1.6280020767494363
2016-09-07;0.0;19.03;3.62234836896609;1.6381560270880362
2016-09-08;0.0;22.9;4.221222807255814;1.6483099774266372
2016-09-09;0.0;25.4;4.616231825985221;1.6584639277652369
2016-09-10;0.0;27.17;4.902603882107576;1.6686178781038374
2016-09-11;0.0;27.57;4.981228251468574;1.6660093002257337
2016-09-12;0.0;27.57;4.998734759918059;1.6634007223476304
2016-09-13;0.0;28.2;5.113100056741179;1.6582120090293455
2016-09-14;0.0;27.4;5.006968411553928;1.6463791422121894
2016-09-15;0.0;24.63;4.5943539459258425;1.6345462753950342
2016-09-16;0.0;25.53;4.7496485132584345;1.6240567042889391
2016-09-17;0.0;27.6;5.088299456222902;1.6059933182844246
2016-09-18;15.3;27.27;5.053038266786448;1.58792993227991
2016-09-19;2.175;24.37;4.613536449118216;1.5698665462753951
2016-09-20;0.0;24.07;4.580669375682049;1.5555583747178332
2016-09-21;0.0;25.17;4.768594136240995;1.5491596388261852
2016-09-22;0.85;25.57;4.846392605929364;1.5427609029345375
2016-09-23;12.775;22.8;4.420310593956198;1.5363621670428893
2016-09-24;4.25;24.3;4.672367173366958;1.5299634311512418
2016-09-25;7.025;24.83;4.770460221041313;1.5235646952595936
2016-09-26;0.0;25.03;4.8158860446775815;1.5134107449209933
2016-09-27;0.7;26.17;5.012420950677985;1.5032567945823931
2016-09-28;0.0;27.27;5.203259254640704;1.4956829796839732
2016-09-29;0.95;27.8;5.302637199128573;1.488109164785553
2016-09-30;3.5;25.07;4.8738123066930825;1.4855558465011287
2016-10-01;0.0;25.17;4.902342658229766;1.4830025282167043
2016-10-02;1.075;26.43;5.119662903139341;1.4880230248306998
2016-10-03;12.0;27.53;5.311599519359716;1.493043521444695
2016-10-04;6.2;24.03;4.751253751922918;1.5031974717832957
2016-10-05;12.2;24.07;4.7687202029970575;1.5095962076749436
2016-10-06;2.475;22.43;4.509765733899806;1.5159949435665914
2016-10-07;6.3;23.0;4.613530443043321;1.5276392776523702
2016-10-08;0.0;25.8;5.085681690638961;1.5392836117381492
2016-10-09;0.0;27.07;5.306357969514253;1.5509279458239278
2016-10-10;0.425;26.33;5.194374598513932;1.5679283972911964
2016-10-11;11.225;26.43;5.221182218093326;1.588684063205417
2016-10-12;9.7;24.87;4.971503733951597;1.6149071783295714
2016-10-13;0.0;26.2;5.202497566583366;1.641130293453725
2016-10-14;12.55;25.53;5.099947553000608;1.6673534085778785
2016-10-15;1.275;26.97;5.349833240973863;1.6858084875846502
2016-10-16;0.0;28.5;5.615370852208832;1.704263566591422
2016-10-17;8.375;28.27;5.585988543064909;1.7227186455981942
2016-10-18;0.0;28.27;5.594889140580679;1.7278520993227988
2016-10-19;0.0;28.97;5.72141958899013;1.727852099322799
2016-10-20;12.975;26.27;5.2745342386417216;1.7176981489841985
2016-10-21;7.925;23.87;4.876741375343976;1.7075441986455984
2016-10-22;0.45;25.23;5.113600988730928;1.7156202257336346
2016-10-23;3.275;24.6;5.013782912759289;1.7236962528216706
2016-10-24;2.6;24.7;5.037268585286394;1.7317722799097066
2016-10-25;0.0;25.47;5.174352721242212;1.7160371106094807
2016-10-26;5.625;26.2;5.304732947712148;1.7003019413092553
2016-10-27;0.0;22.33;4.65216095046896;1.679099322799097
2016-10-28;0.0;22.67;4.715324918661767;1.6578967042889396
2016-10-29;0.0;23.97;4.942195417302044;1.6366940857787808
2016-10-30;0.125;26.07;5.305955627976373;1.6182390067720094
2016-10-31;0.0;26.6;5.401853238810277;1.5997839277652368
2016-11-01;0.05;26.07;5.316344288671309;1.5864623024830702
2016-11-02;7.225;24.77;5.098589592935355;1.5864623024830702
2016-11-03;0.0;22.33;4.684830485530865;1.5864623024830702
2016-11-04;0.0;24.03;4.980447848787418;1.5966162528216707
2016-11-05;0.0;25.53;5.242033509812822;1.606770203160271
2016-11-06;10.575;26.2;5.3612265843696925;1.5934485778781038
2016-11-07;2.575;26.27;5.377240003584245;1.5801269525959372
2016-11-08;4.125;25.43;5.236502262274589;1.5668053273137696
2016-11-09;1.825;25.57;5.264157320769041;1.5719387810383747
2016-11-10;12.3;25.07;5.181406245914211;1.5796808126410835
2016-11-11;10.4;24.9;5.155293071814628;1.5874228442437923
2016-11-12;18.2;22.67;4.77360947367619;1.5951648758465011
2016-11-13;24.125;23.1;4.850512700068183;1.6029069074492095
2016-11-14;0.0;26.43;5.428224314152362;1.6106489390519187
2016-11-15;0.0;26.23;5.39642796161492;1.6210279909706546
2016-11-16;23.625;23.2;4.875215870758923;1.6262735891647857
2016-11-17;0.8;24.47;5.097121628033023;1.6315191873589163
2016-11-18;0.0;22.8;4.810386532665945;1.6448408126410832
2016-11-19;0.0;23.63;4.956070349572951;1.6581624379232505
2016-11-20;22.8;25.03;5.200479768718269;1.6714840632054175
2016-11-21;17.0;24.2;5.0586464758324166;1.6889371557562078
2016-11-22;19.85;24.33;5.082984360220443;1.706390248306998
2016-11-23;26.45;24.53;5.119382891852983;1.7238433408577876
2016-11-24;0.0;25.17;5.23202169887126;1.7399125056433409
2016-11-25;0.0;25.8;5.34291150994856;1.75337309255079
2016-11-26;2.9;25.13;5.228207029057916;1.7640861399548535
2016-11-27;1.7;24.8;5.172374761528135;1.7747991873589168
2016-11-28;5.725;25.53;5.30047311969848;1.78551223476298
2016-11-29;4.625;25.87;5.360841201405377;1.7962252821670428
2016-11-30;44.575;25.3;5.263105936450153;1.80430130925508
2016-12-01;2.65;23.7;4.986313109700217;1.815124875846501
2016-12-02;1.05;24.6;5.143785120629048;1.8259484424379235
2016-12-03;15.725;24.57;5.1396253436312245;1.8342723250564337
2016-12-04;11.975;24.57;5.14062985577119;1.842596207674944
2016-12-05;2.05;24.8;5.18158040810741;1.8509200902934533
2016-12-06;0.0;25.53;5.30945673759636;1.872498148984199
2016-12-07;17.675;26.23;5.432117207755281;1.894076207674944
2016-12-08;20.55;25.03;5.224239968201831;1.915654266365688
2016-12-09;5.55;23.03;4.877064362734415;1.9386162528216704
2016-12-10;1.5;24.33;5.104018056005267;1.9615782392776528
2016-12-11;21.875;24.97;5.216136416612586;1.990280722347629
2016-12-12;12.675;25.37;5.2864789187736045;2.018983205417608
2016-12-13;13.3;24.97;5.217537233448221;2.0476856884875847
2016-12-14;15.95;23.43;4.950060137901957;2.0763881715575625
2016-12-15;7.275;24.2;5.084743683602432;2.1050906546275403
2016-12-16;69.65;24.67;5.167187677800284;2.134064559819413
